"number";"contractName";"name";"address";"position_latitude";"position_longitude";"banking";"bonus";"status";"lastUpdate";"connected";"bikes";"stands";"mechanicalBikes";"electricalBikes";"electricalInternalBatteryBikes";"electricalRemovableBatteryBikes";"capacity";"CodePostal"
"9008";"lyon";"9008 - L'ILE BARBE";"3 QUAI PAUL SEDAILLAN";45,797415;4,829038;TRUE;FALSE;"OPEN";"2024-03-17T13:27:15Z";TRUE;7;9;3;4;0;4;16;69009
"9046";"lyon";"9046 - MANGINI";"";45,790414;4,816359;TRUE;FALSE;"OPEN";"2024-03-17T13:34:47Z";TRUE;1;23;0;1;0;1;24;69009
"4042";"lyon";"4042 - GREGORY COUPET";"94 RUE PHILIPPE DE LASALLE";45,781699;4,820596;FALSE;TRUE;"OPEN";"2024-03-17T13:28:32Z";TRUE;0;16;0;0;0;0;16;69004
"10053";"lyon";"10053 - ROSSELINI / 11 NOVEMBRE";"Bd du 11 novembre angle av. Claude Bernard";45,77939;4,863068;FALSE;FALSE;"OPEN";"2024-03-17T13:31:36Z";TRUE;1;29;0;1;0;1;30;69100
"6039";"lyon";"6039 - GARIBALDI / BUGEAUD";"";45,766708;4,852073;TRUE;FALSE;"OPEN";"2024-03-17T13:30:52Z";TRUE;3;17;3;0;0;0;20;69006
"10110";"lyon";"10110 - MÉMOIRE ET SOCIÉTÉ";"20 RUE VALENTIN HAUY (VILLEURBANNE)";45,75958;4,882739;FALSE;FALSE;"OPEN";"2024-03-17T13:27:35Z";TRUE;18;6;9;9;0;9;24;69100
"6021";"lyon";"6021 - GARIBALDI";"Entre rue Crillon et rue Sully";45,770664;4,849946;FALSE;FALSE;"OPEN";"2024-03-17T13:33:20Z";TRUE;0;11;0;0;0;0;11;69006
"5053";"lyon";"5053 - SAINT-JUST";"1 PLACE DE L'ABBE LARUE";45,75597;4,818904;FALSE;TRUE;"OPEN";"2024-03-17T13:25:59Z";TRUE;3;15;3;0;0;0;18;69005
"8058";"lyon";"8058 - LONGEFER / KRUGER";"10 RUE PDT P. KRUGER";45,738671;4,878117;FALSE;FALSE;"OPEN";"2024-03-17T13:30:23Z";TRUE;8;8;4;4;0;4;16;69008
"2037";"lyon";"2037 - PLACE DES ARCHIVES";"12 COURS CHARLEMAGNE";45,747956;4,824898;TRUE;FALSE;"OPEN";"2024-03-17T13:32:31Z";TRUE;0;40;0;0;0;0;40;69002
"14004";"lyon";"14004 - BRON - MAIRIE";"";45,73403;4,908777;TRUE;FALSE;"OPEN";"2024-03-17T13:34:50Z";TRUE;2;21;0;2;0;2;23;69500
"2026";"lyon";"2026 - RÉPUBLIQUE / PAUFIQUE";"Angle rue de la République";45,759379;4,835414;FALSE;FALSE;"OPEN";"2024-03-17T13:33:48Z";TRUE;13;15;3;10;0;10;28;69002
"22001";"lyon";"22001 - STE FOY - PLACE ST LUC";"";45,749588;4,800967;TRUE;FALSE;"OPEN";"2024-03-17T13:27:45Z";TRUE;5;10;5;0;0;0;15;69110
"9003";"lyon";"9003 - PLACE VALMY";"Rue Roquette / angle rue de Bourgogne";45,775679;4,805314;FALSE;FALSE;"OPEN";"2024-03-17T13:35:02Z";TRUE;14;2;3;11;0;11;16;69009
"2038";"lyon";"2038 - REMPARTS D'AINAY";"16 RUE DES REMPARTS D'AINAY";45,753077;4,829706;FALSE;FALSE;"OPEN";"2024-03-17T13:26:55Z";TRUE;8;16;0;8;0;8;24;69002
"8054";"lyon";"8054 - MARTINIÈRE / MONPLAISIR";"34 RUE ANTOINE LUMIERE";45,740865;4,868244;TRUE;FALSE;"OPEN";"2024-03-17T13:30:36Z";TRUE;4;15;4;0;0;0;20;69008
"7039";"lyon";"7039 - GUILLOTIÈRE / MADELEINE";"Angle rue de la Madeleine";45,751073;4,848018;FALSE;FALSE;"OPEN";"2024-03-17T13:27:31Z";TRUE;4;6;4;0;0;0;10;69007
"2012";"lyon";"2012 - GAILLETON";"3 PLACE GAILLETON";45,753455;4,833367;FALSE;FALSE;"OPEN";"2024-03-17T13:25:08Z";TRUE;9;6;5;4;0;4;16;69002
"7006";"lyon";"7006 - GERLAND";"Avenue Jean Jaurès - Au niveau du square Galtier";45,727494;4,831145;TRUE;FALSE;"OPEN";"2024-03-17T13:28:41Z";TRUE;36;4;20;16;0;16;40;69007
"8023";"lyon";"8023 - MERMOZ / PINEL";"";45,730788;4,887513;TRUE;FALSE;"OPEN";"2024-03-17T13:33:02Z";TRUE;0;23;0;0;0;0;23;69008
"8011";"lyon";"8011 - PLACE LEBRET";"Côté route de Vienne";45,735653;4,853042;FALSE;FALSE;"OPEN";"2024-03-17T13:33:54Z";TRUE;0;14;0;0;0;0;14;69008
"1006";"lyon";"1006- SUBSISTANCES";"12 QUAI ST VINCENT";45,767912;4,819872;FALSE;FALSE;"OPEN";"2024-03-17T13:34:55Z";TRUE;17;3;6;11;0;11;22;69001
"4002";"lyon";"4002 - MAIRIE DU 4E";"Devant la mairie du 4°";45,774193;4,827743;TRUE;TRUE;"OPEN";"2024-03-17T13:34:18Z";TRUE;0;20;0;0;0;0;20;69004
"20003";"lyon";"20003 - OULLINS - PONT BLANC";"";45,720156;4,798426;FALSE;FALSE;"OPEN";"2024-03-17T13:25:16Z";TRUE;14;10;1;13;0;13;24;69600
"3081";"lyon";"3081 - PART-DIEU / FRANCFORT";"44 RUE MAURICE FLANDIN 69003 LYON";45,760689;4,863069;TRUE;FALSE;"OPEN";"2024-03-17T13:31:34Z";TRUE;27;1;14;13;0;13;28;69003
"4007";"lyon";"4007 - PLACE FLAMMARION";"Côté Rue Philippe de Lassalle";45,779332;4,820259;FALSE;TRUE;"OPEN";"2024-03-17T13:34:39Z";TRUE;5;13;5;0;0;0;18;69004
"30002";"lyon";"30002 - RILLIEUX - LOUP PENDU";"";45,815973;4,887019;FALSE;TRUE;"OPEN";"2024-03-17T13:31:27Z";TRUE;6;12;4;2;0;2;18;69140
"3011";"lyon";"3011 - PART-DIEU / CUIRASSIERS";"";45,75991;4,857555;TRUE;FALSE;"OPEN";"2024-03-17T13:34:53Z";TRUE;4;55;1;3;0;3;59;69003
"10092";"lyon";"10092 - MONTGOLFIER / CHATEAU GAILLARD";"3 RUE DU CHAMP DE L'ORME (VILLEURBANNE)";45,771561;4,890378;FALSE;FALSE;"OPEN";"2024-03-17T13:34:06Z";TRUE;7;10;5;2;0;2;17;69100
"10024";"lyon";"10024 - MAISONS NEUVES";"Place des Maisons Neuves/Côté rue Jean Jaurès";45,755988;4,877409;TRUE;FALSE;"OPEN";"2024-03-17T13:34:07Z";TRUE;1;22;1;0;0;0;23;69100
"1034";"lyon";"1034 - CARMÉLITES";"30 MONTEE DES CARMELITES";45,770006;4,829274;FALSE;FALSE;"OPEN";"2024-03-17T13:34:13Z";TRUE;1;15;1;0;0;0;16;69001
"3013";"lyon";"3013 - PLACE ANTOINETTE";"Place Antoinette";45,753683;4,889285;FALSE;FALSE;"OPEN";"2024-03-17T13:32:47Z";TRUE;0;20;1;0;0;0;21;69003
"10008";"lyon";"10008 - SALENGRO / VAILLANT";"Rue Roger Salengro - Angle rue Vaillant";45,778385;4,879673;TRUE;FALSE;"OPEN";"2024-03-17T13:34:23Z";TRUE;7;17;5;2;0;2;24;69100
"3083";"lyon";"3083 - LES HALLES";"118 RUE MONCEY";45,761595;4,850477;FALSE;FALSE;"OPEN";"2024-03-17T13:32:28Z";TRUE;16;2;11;5;0;5;18;69003
"6024";"lyon";"6024 - TRONCHET / ANATOLE FRANCE";"Angle bvd Anatole France";45,770743;4,856713;FALSE;FALSE;"OPEN";"2024-03-17T13:27:55Z";TRUE;10;0;7;3;0;3;10;69006
"8006";"lyon";"8006 - PLACE DU 8 MAI 1945";"Rue Professeur Beauvisage/Angle bd des Etats-Unis";45,729771;4,868157;FALSE;FALSE;"OPEN";"2024-03-17T13:29:24Z";TRUE;17;3;10;7;0;7;20;69008
"23001";"lyon";"23001 - TASSIN - TUILERIES";"";45,763244;4,778641;TRUE;TRUE;"OPEN";"2024-03-17T13:27:50Z";TRUE;3;9;2;1;0;1;12;69160
"9052";"lyon";"9052 - BALMONT";"360 BVD DE BALMONT";45,789194;4,799308;FALSE;TRUE;"OPEN";"2024-03-17T13:34:29Z";TRUE;7;5;7;0;0;0;12;69009
"12002";"lyon";"12002 - VAULX - POUDRETTE / LA SOIE";"Face au 2 rue de la Poudrette, Vaulx en Velin";45,76438;4,919276;FALSE;FALSE;"OPEN";"2024-03-17T13:31:43Z";TRUE;5;15;4;1;0;1;20;69100
"6033";"lyon";"6033 - CRÉQUI / LAFAYETTE";"153 RUE CREQUI";45,763755;4,847082;FALSE;FALSE;"OPEN";"2024-03-17T13:29:26Z";TRUE;0;15;0;0;0;0;15;69006
"10012";"lyon";"10012 - ZOLA / FRANCE";"Rue de France/Angle Cours Emile Zola";45,767957;4,887232;FALSE;FALSE;"OPEN";"2024-03-17T13:28:22Z";TRUE;11;5;8;3;0;3;16;69100
"10123";"lyon";"10123 - SAINT JEAN CANAL";"";45,776646;4,902366;FALSE;FALSE;"OPEN";"2024-03-17T09:43:39Z";FALSE;8;4;4;4;0;4;12;69100
"4022";"lyon";"4022 - PLACE DE LA CROIX-ROUSSE";"Prox. Grande rue de la Croix-Rousse";45,77608;4,832543;FALSE;TRUE;"OPEN";"2024-03-17T13:32:18Z";TRUE;0;21;0;0;0;0;21;69004
"10047";"lyon";"10047 - LHERMINIER / PRESSENSÉ";"Avenue du Cdt Lherminier/Angle rue F. de Pressensé";45,771143;4,88504;FALSE;FALSE;"OPEN";"2024-03-17T13:32:03Z";TRUE;11;3;4;7;0;7;15;69100
"10049";"lyon";"10049 - BORNE TEST A. THOMAS";"Borne test Albert Thomas";45,7481858411998;4,86445471733799;TRUE;FALSE;"OPEN";"2024-03-17T13:26:31Z";TRUE;0;1;0;0;0;0;0;69003
"7021";"lyon";"7021 - CHALLEMEL LACOUR / GERLAND";"176–180 Rue de Gerland 69007 Lyon";45,729791;4,838138;FALSE;FALSE;"OPEN";"2024-03-17T13:31:48Z";TRUE;1;11;0;1;0;1;12;69007
"3004";"lyon";"3004 - BOURSE DU TRAVAIL";"Angle rue Moncey / Part-Dieu";45,759648;4,848139;TRUE;FALSE;"OPEN";"2024-03-17T13:33:24Z";TRUE;7;20;5;2;0;2;27;69003
"3016";"lyon";"3016 - LIBERTÉ / PART-DIEU";"Angle rue de la Part-Dieu";45,759361;4,842308;TRUE;FALSE;"OPEN";"2024-03-17T13:31:17Z";TRUE;7;11;4;3;0;3;18;69003
"2003";"lyon";"2003 - PLACE AMPÈRE";"Angle Henry IV";45,753049;4,828297;FALSE;FALSE;"OPEN";"2024-03-17T13:32:39Z";TRUE;9;1;5;4;0;4;10;69002
"7017";"lyon";"7017 - BEAUVOIR / MAROT";"";45,73674;4,834106;FALSE;FALSE;"OPEN";"2024-03-17T13:33:45Z";TRUE;20;0;9;11;0;11;20;69007
"19001";"lyon";"19001 - ST GENIS L. - MÉDIATHÈQUE";"";45,697863;4,794658;TRUE;TRUE;"OPEN";"2024-03-17T13:32:34Z";TRUE;0;12;0;0;0;0;12;69230
"6003";"lyon";"6003 - AVENUE VERGUIN";"Devant l'entrée du parc";45,772846;4,856274;TRUE;FALSE;"OPEN";"2024-03-17T13:32:28Z";TRUE;12;8;7;5;0;5;20;69006
"7015";"lyon";"7015 - TECHSUD";"Rue professeur Jean Bernard angle Boulevard Chambaud de la Bruyère Lyon 7";45,7228;4,842706;FALSE;FALSE;"OPEN";"2024-03-17T13:25:47Z";TRUE;1;11;0;1;0;1;12;69007
"8024";"lyon";"8024 - MERMOZ / MICHELET";"Angle av Michelet";45,733317;4,878607;FALSE;FALSE;"OPEN";"2024-03-17T13:29:34Z";TRUE;8;4;4;4;0;4;12;69008
"7026";"lyon";"7026 - BALDASSINI / GERLAND";"";45,727691;4,837392;FALSE;FALSE;"OPEN";"2024-03-17T13:31:50Z";TRUE;1;19;0;1;0;1;20;69007
"24001";"lyon";"24001 - ECULLY - MAIRIE";"";45,775112;4,778531;TRUE;TRUE;"OPEN";"2024-03-17T13:34:44Z";TRUE;7;5;4;3;0;3;12;69130
"7007";"lyon";"7007 - FARGE / AYASSE";"Angle Bld Y. Farge / rue Commandant Ayasse";45,735741;4,827725;FALSE;FALSE;"OPEN";"2024-03-17T13:30:59Z";TRUE;18;2;11;7;0;7;20;69007
"8038";"lyon";"8038 - ALBERT THOMAS / VILLON";"Angle rue Villon";45,746691;4,867501;FALSE;FALSE;"OPEN";"2024-03-17T13:32:15Z";TRUE;18;2;7;11;0;11;20;69008
"10072";"lyon";"10072 - JACQUES BREL";"Rue Jacques Brel/angle rue Korel";45,774228;4,864269;FALSE;FALSE;"OPEN";"2024-03-17T13:27:17Z";TRUE;0;23;0;0;0;0;23;69100
"18001";"lyon";"18001 - PIERRE BÉNITE - EUROPE";"";45,703245;4,821204;TRUE;FALSE;"OPEN";"2024-03-17T13:31:46Z";TRUE;12;3;5;7;0;7;15;69310
"6020";"lyon";"6020 - MUSÉE GUIMET";"Angle rue Morellet";45,774526;4,848443;TRUE;FALSE;"OPEN";"2024-03-17T13:33:41Z";TRUE;4;11;3;1;0;1;15;69006
"12001";"lyon";"12001 - VAULX - LA SOIE";"45 RUE DE LA POUDRETTE (VILLEURBANNE)";45,760908;4,920569;TRUE;FALSE;"OPEN";"2024-03-17T13:26:55Z";TRUE;0;24;0;1;0;1;25;69100
"10055";"lyon";"10055 - CONDORCET / GALLINE";"Avenue Galline/angle av. de Condorcet";45,776428;4,866976;FALSE;FALSE;"OPEN";"2024-03-17T13:26:50Z";TRUE;10;5;7;3;0;3;15;69100
"6025";"lyon";"6025 - PLACE D'HELVÉTIE";"";45,773232;4,841949;TRUE;FALSE;"OPEN";"2024-03-17T13:29:35Z";TRUE;0;30;0;0;0;0;30;69006
"3094";"lyon";"3094 - VILLETTE";"74 RUE DE LA VILLETTE";45,757808;4,861512;TRUE;FALSE;"OPEN";"2024-03-17T13:30:39Z";TRUE;23;14;19;5;0;5;38;69003
"5044";"lyon";"5044 - CHAMPVERT";"87 RUE DOCTEUR EDMOND LOCARD";45,760056;4,798366;TRUE;TRUE;"OPEN";"2024-03-17T13:29:11Z";TRUE;4;11;4;0;0;0;15;69005
"3069";"lyon";"3069 - DAUPHINÉ / SAINT-MAXIMIN";"";45,750002;4,864587;FALSE;FALSE;"OPEN";"2024-03-17T13:25:55Z";TRUE;18;12;9;9;0;9;30;69003
"10006";"lyon";"10006 - CHARPENNES";"Place Charles Hernu / côté sud";45,770225;4,863102;TRUE;FALSE;"OPEN";"2024-03-17T13:32:08Z";TRUE;18;28;11;7;0;7;46;69100
"9011";"lyon";"9011 - CONSERVATOIRE";"Quai Chauveau / angle Pont Koenig";45,769803;4,812681;TRUE;FALSE;"OPEN";"2024-03-17T13:26:05Z";TRUE;11;8;10;1;0;1;19;69009
"21001";"lyon";"21001 - LA MULATIERE - AQUARIUM";"";45,727309;4,814779;TRUE;FALSE;"OPEN";"2024-03-17T13:28:56Z";TRUE;19;5;10;9;0;9;24;69350
"9015";"lyon";"9015 - SAINT-CYR";"";45,782855;4,807288;FALSE;FALSE;"OPEN";"2024-03-17T13:28:39Z";TRUE;24;6;13;11;0;11;30;69009
"6012";"lyon";"6012 - PLACE PUVIS DE CHAVANNES";"Angle rue Vendôme";45,771794;4,84459;FALSE;FALSE;"OPEN";"2024-03-17T13:30:03Z";TRUE;1;9;1;0;0;0;10;69006
"8009";"lyon";"8009 - JEAN XXIII / MERMOZ";"Boulevard Jean XXIII - Angle de la rue Mermoz";45,73648;4,869789;TRUE;FALSE;"OPEN";"2024-03-17T13:31:41Z";TRUE;9;10;2;8;0;8;20;69008
"10073";"lyon";"10073 - INSTITUT D'ART CONTEMPORAIN";"Rue Docteur Dolard / Angle rue 4 Septembre";45,761468;4,872466;FALSE;FALSE;"OPEN";"2024-03-17T13:27:22Z";TRUE;21;3;14;7;0;7;25;69100
"2035";"lyon";"2035 - CHILDEBERT / RIVIÈRE";"";45,759842;4,835776;TRUE;FALSE;"OPEN";"2024-03-17T13:29:49Z";TRUE;5;17;5;0;0;0;23;69002
"9014";"lyon";"9014 - QUAI DU COMMERCE";"Angle rue Emile Duport";45,7820006188352;4,81043960203213;TRUE;FALSE;"OPEN";"2024-03-17T13:27:32Z";TRUE;9;21;0;9;0;9;30;69009
"3097";"lyon";"3097 - AUGAGNEUR / FOSSE AUX OURS";"28 QUAI VICTOR AUGAGNEUR";45,757192;4,840495;TRUE;FALSE;"OPEN";"2024-03-17T13:32:11Z";TRUE;7;31;7;2;0;2;40;69003
"3035";"lyon";"3035 - PHILOMENE MAGNIN";"";45,752453;4,858785;TRUE;FALSE;"OPEN";"2024-03-17T13:26:13Z";TRUE;17;7;8;9;0;9;24;69003
"9022";"lyon";"9022 - MASARYK / SAINT-CYR";"Angle rue Chinard/rue St Cyr";45,778639;4,8071;FALSE;FALSE;"OPEN";"2024-03-17T13:31:12Z";TRUE;6;7;3;3;0;3;13;69009
"3138";"lyon";"3138 - VIVIER MERLE / PAUL BERT OUEST";"Devant l'hôtel IBIS";45,757484;4,858386;FALSE;FALSE;"OPEN";"2024-03-17T13:32:04Z";TRUE;7;9;3;5;0;5;19;69003
"10112";"lyon";"10112 - PLACE DE LA RECONNAISSANCE";"105 ROUTE DE GENAS (VILLEURBANNE)";45,754415;4,885249;TRUE;FALSE;"OPEN";"2024-03-17T13:31:53Z";TRUE;0;30;0;2;0;2;32;69003
"4024";"lyon";"4024 - LYON METROPOLE";"FACE AU 81 QUAI JOSEPH GILLET";45,788204;4,818572;TRUE;FALSE;"OPEN";"2024-03-17T13:26:49Z";TRUE;20;5;9;11;0;11;25;69004
"15001";"lyon";"15001 - ST PRIEST - PARC TECHNOLOGIQUE";"";45,714426;4,930975;TRUE;FALSE;"OPEN";"2024-03-17T13:31:50Z";TRUE;10;10;10;0;0;0;20;69800
"8041";"lyon";"8041 - ETATS-UNIS / VIVIANI";"170 Boulevard des Etats-Unis, Angle Avenue Viviani, direction Venissieux";45,724775;4,870745;TRUE;FALSE;"OPEN";"2024-03-17T13:26:27Z";TRUE;19;1;16;3;0;3;20;69008
"2008";"lyon";"2008 - PLACE ANTONIN PONCET";"Côté rue des Marroniers";45,756775;4,833917;TRUE;FALSE;"OPEN";"2024-03-17T13:33:27Z";TRUE;22;17;13;9;0;9;40;69002
"7019";"lyon";"7019 - CROIX BARRET / BOURDEIX";"";45,736722;4,841079;FALSE;FALSE;"OPEN";"2024-03-17T13:34:28Z";TRUE;32;0;16;16;0;16;32;69007
"1";"lyon";"00001 - BORNE SOLAIRE";"Borne solaire n°1";45,7684049534445;4,98134678522698;FALSE;FALSE;"OPEN";"2024-03-17T13:30:21Z";TRUE;0;99;0;0;0;0;103;69150
"1005";"lyon";"1005 - MEISSONNIER";"Place Meissonier - Angle Sud-Est de la place";45,766073;4,832849;FALSE;FALSE;"OPEN";"2024-03-17T13:33:21Z";TRUE;6;10;2;4;0;4;16;69001
"6040";"lyon";"6040 - LES HALLES";"71 COURS LAFAYETTE";45,764013;4,849933;TRUE;FALSE;"OPEN";"2024-03-17T13:32:48Z";TRUE;0;15;0;0;0;0;15;69006
"10044";"lyon";"10044 - ROCARD OCTAVIE";"";45,7809037283842;4,88958755288143;FALSE;FALSE;"OPEN";"2024-03-17T13:32:24Z";TRUE;19;4;9;10;0;10;25;69100
"2022";"lyon";"2022 - PLACE CARNOT";"Angle rue Plessier";45,751233;4,82688;TRUE;FALSE;"OPEN";"2024-03-17T13:33:50Z";TRUE;20;10;12;8;0;8;30;69002
"4014";"lyon";"4014 - PHILIPPE DE LASSALLE / PILLEMENT";"Angle rue Pillement";45,777431;4,820526;FALSE;TRUE;"OPEN";"2024-03-17T13:29:22Z";TRUE;0;13;0;0;0;0;13;69004
"7036";"lyon";"7036 - GRYPHE / MONTESQUIEU";"";45,751902;4,843812;TRUE;FALSE;"OPEN";"2024-03-17T13:30:13Z";TRUE;9;16;2;7;0;7;25;69007
"9029";"lyon";"9029 - SAINT PIERRE DE VAISE";"Place Vanderpol/Angle St Pierre de Vaise";45,773125;4,807831;FALSE;FALSE;"OPEN";"2024-03-17T13:32:18Z";TRUE;13;2;12;1;0;1;15;69009
"3099";"lyon";"3099 - PLACE SAINTE ANNE";"10 PLACE SAINTE ANNE";45,757042;4,86532;TRUE;FALSE;"OPEN";"2024-03-17T13:28:51Z";TRUE;6;11;2;5;0;5;18;69003
"8001";"lyon";"8001 - UNIVERSITÉ LYON III";"Devant entrée principale de l'université";45,748535;4,861533;TRUE;FALSE;"OPEN";"2024-03-17T13:34:56Z";TRUE;14;22;11;3;0;3;36;69008
"3005";"lyon";"3005 - SAXE / GAMBETTA";"Place Victor Basch";45,75377;4,848043;TRUE;FALSE;"OPEN";"2024-03-17T13:32:52Z";TRUE;23;3;12;11;0;11;26;69003
"555";"lyon";"0-555 - ATELIER VÉLO'V";"";45,780403;4,904869;FALSE;FALSE;"OPEN";"2024-03-17T13:30:50Z";TRUE;3;0;2;1;0;1;3;69100
"8033";"lyon";"8033 - BERTHELOT / CAZENEUVE";"";45,737481;4,865503;FALSE;FALSE;"OPEN";"2024-03-17T13:28:51Z";TRUE;7;13;6;1;0;1;20;69008
"10058";"lyon";"10058 - MÉTRO FLACHET";"274 COURS EMILE ZOLA (VILLEURBANNE)";45,767051;4,892467;TRUE;FALSE;"OPEN";"2024-03-17T13:33:16Z";TRUE;11;11;3;8;0;8;22;69100
"8010";"lyon";"8010 - PLACE MENDÈS FRANCE";"95 AV. DE L'EUROPE";45,740052;4,85941;TRUE;FALSE;"OPEN";"2024-03-17T13:34:36Z";TRUE;10;10;6;4;0;4;20;69008
"3067";"lyon";"3067 - HACHETTE";"6 RUE JEAN RENOIR";45,752907;4,863923;FALSE;FALSE;"OPEN";"2024-03-17T13:27:59Z";TRUE;14;1;4;10;0;10;15;69003
"7055";"lyon";"7055 - SERVANT / JABOULAY";"23 RUE RENAN";45,746779;4,842051;FALSE;FALSE;"OPEN";"2024-03-17T13:34:58Z";TRUE;16;0;7;9;0;9;16;69007
"17002";"lyon";"17002 - ST FONS - 4 CHEMINS";"";45,708561;4,854821;TRUE;FALSE;"OPEN";"2024-03-17T13:29:11Z";TRUE;4;7;2;2;0;2;11;69190
"5002";"lyon";"5002 - PLACE DES COMPAGNONS DE LA CHANSON";"Angle rue des Aqueducs";45,756535;4,796616;FALSE;TRUE;"OPEN";"2024-03-17T13:25:59Z";TRUE;1;17;1;0;0;0;18;69005
"10084";"lyon";"10084 - DOUA / AVENUE DES ARTS";"84 avenue des Arts";45,783533;4,871294;TRUE;FALSE;"OPEN";"2024-03-17T13:27:24Z";TRUE;9;21;5;4;0;4;30;69100
